CalendarYear;YearMonthNumber;QuarterLabel;MonthYear;TerritoryGroup;Country;Region;ProductCategory;ProductSubcategory;IncomeGroup;AgeGroup;Gender;Occupation;HouseOwnerFlag;Revenue;Profit;UnitsSold;SalesOrderNumber;CustomerKey
2011;201101;Q1;Jan 2011;Europe;United Kingdom;United Kingdom;Bikes;Mountain Bikes;Low Income;55+;Male;Manual;1;774.30;298.81;1;SO000001;11025
2011;201101;Q1;Jan 2011;Europe;United Kingdom;United Kingdom;Bikes;Road Bikes;Low Income;46-55;Male;Management;1;1763.80;703.26;1;SO000002;11665
2011;201101;Q1;Jan 2011;North America;Canada;Canada;Accessories;Tires and Tubes;High Income;46-55;Female;Professional;1;86.03;50.21;1;SO000003;11352
2011;201101;Q1;Jan 2011;North America;Canada;Canada;Bikes;Road Bikes;High Income;46-55;Female;Professional;1;9284.67;4078.93;3;SO000003;11352
2011;201101;Q1;Jan 2011;North America;United States;Southwest;Bikes;Road Bikes;Low Income;46-55;Female;Professional;0;3470.67;1461.85;1;SO000004;11389
2011;201101;Q1;Jan 2011;North America;United States;Southwest;Bikes;Road Bikes;High Income;55+;Male;Professional;1;3162.20;1335.82;2;SO000005;11570
2011;201101;Q1;Jan 2011;Europe;Germany;Germany;Bikes;Mountain Bikes;Low Income;26-35;Female;Manual;1;3261.99;1335.72;3;SO000006;11405
2011;201101;Q1;Jan 2011;Europe;Germany;Germany;Accessories;Helmets;Low Income;26-35;Female;Manual;1;23.40;14.85;1;SO000006;11405
2011;201101;Q1;Jan 2011;North America;United States;Southeast;Bikes;Road Bikes;Middle Income;46-55;Female;Manual;0;5704.16;2265.77;2;SO000007;11610
2011;201101;Q1;Jan 2011;North America;United States;Southeast;Bikes;Mountain Bikes;Middle Income;46-55;Female;Manual;0;3370.68;1483.33;1;SO000007;11610
2011;201101;Q1;Jan 2011;Europe;France;France;Accessories;Helmets;Middle Income;26-35;Female;Manual;0;61.19;36.04;1;SO000008;11269
2011;201101;Q1;Jan 2011;Europe;Germany;Germany;Components;Wheels;Low Income;36-45;Male;Professional;1;258.63;88.96;1;SO000009;11371
2011;201101;Q1;Jan 2011;Europe;Germany;Germany;Bikes;Road Bikes;Low Income;36-45;Male;Professional;1;1293.03;534.21;1;SO000009;11371
2011;201101;Q1;Jan 2011;Europe;United Kingdom;United Kingdom;Bikes;Road Bikes;Middle Income;55+;Female;Clerical;1;2250.98;938.83;1;SO000010;11747
2011;201101;Q1;Jan 2011;North America;United States;Northwest;Bikes;Road Bikes;Low Income;55+;Female;Professional;0;3319.44;1379.84;1;SO000011;11007
2011;201101;Q1;Jan 2011;North America;United States;Southeast;Bikes;Road Bikes;High Income;36-45;Male;Clerical;1;2529.68;1066.75;1;SO000012;11484
2011;201101;Q1;Jan 2011;Pacific;Australia;Australia;Bikes;Road Bikes;High Income;26-35;Male;Management;1;3285.14;1331.96;1;SO000013;11062
